Codigo;Nombre;Familia;Tipo;Poder;Resistencia;Nivel;Habilidad;ESTADO;;ORO;Lore;;;;;;;;;;;;;;;;;;
AA - 001;Cuervo de la Muerte;Aves;Cuervo;3;1;2;Vuela;REVISION;ARTE;;"El Cuervo de la Muerte es la manifestación más sombría del vacío post-apocalíptico, un ser que no devora la carne, sino que consume la existencia misma. Actuando como un huésped para hongos bioluminiscentes de un tono cian enfermizo, esta criatura bípede acelera la entropía a su alrededor, convirtiendo lo vivo en ceniza blanca con solo su presencia. Envuelto en un plumaje de obsidiana polvorienta y adornado con un collar de ofrendas macabras, el Corvus Letalis camina entre estatuas de víctimas petrificadas, utilizando su mirada violeta para identificar aquellos cuyo tiempo ha llegado a su fin en el jardín de hierro del multiverso.";;;;;;;;;;;;;;;;;;
AA - 002;Alas de Ceniza;Aves;Cuervo;1;1;1;Vuela;REVISION;ARTE;;"El Cuervo Alas de Ceniza es el espíritu errante de las zonas calcinadas, una anomalía biomecánica que existe en un estado de combustión perpetua. Su cuerpo, una estructura frágil de huesos porosos y piel agrietada por el calor, alberga un núcleo de brasas incandescentes que brilla con un naranja agónico a través de su pecho. Sus alas, compuestas por filamentos de carbono que se desintegran en cada aleteo, envuelven a sus presas en una nube asfixiante de hollín y partículas ardientes, convirtiendo el aire en un veneno abrasador. Desde lo alto de rascacielos carbonizados, el Corvus Cinereus observa con ojos de fuego, esperando el momento de descender como un rastro de humo letal sobre aquellos que aún conservan el calor de la vida.";;;;;;;;;;;;;;;;;;
AA - 003;Cuervo de la Desolación;Aves;Cuervo;1;1;1;Toxico. Vuela.;REVISION;ARTE;;"El Cuervo de la Desolación es el depredador alfa del páramo, una titánica anomalía biomecánica que encarna la voluntad de la tierra por devorar los restos de la civilización. Su biología única le permite asimilar metal oxidado y hormigón en su propia estructura ósea, convirtiendo su cuerpo en un baluarte de plumas de obsidiana y tendones de acero. Como heraldo de la entropía, vigila desde tronos de escombros en los bosques de hierro, utilizando su visión cian radiactiva para localizar presas entre la niebla de ceniza, antes de lanzarse en un ataque bípede explosivo que tritura hueso y metal por igual bajo su pico de fundición bacteriana.";;;;;;;;;;;;;;;;;;
AA - 004;Buho Oscuro;Aves;Buho;1;2;1;Pesado. Vuela. Recolector.;REVISION;ARTE;;"Cuando el Búho Segador decide atacar, el aire mismo parece solidificarse. Su habilidad de ""Velo de Ceguera"" alcanza su punto máximo durante el descenso, distorsionando la realidad visual del objetivo. En esta pose, el búho se lanza desde las vigas superiores del sector industrial, con sus alas de fibra de carbono vibrando a una frecuencia que cancela el sonido del viento, convirtiéndose en un proyectil de vacío absoluto.";;;;;;;;;;;;;;;;;;
AA - 005;Fenix del Mañana;Aves;Fenix;2;2;2;Vuela. Resurrección;REVISION;ARTE;;"El Fénix del Mañana es la cima de la ingeniería energética del pasado. Una entidad biomecánica que no consume carne ni datos, sino que se alimenta de la radiación ambiental. Sus alas de plasma blanco y su cuerpo de oro blanco lo convierten en una deidad tecnológica en un mundo de chatarra. Su ciclo de ""muerte y resurrección"" es en realidad un proceso de autorreparación molecular ultrarrápido que utiliza los materiales del entorno para renacer. Es el ""Faro del Futuro"", un ser que transforma la destrucción en una nueva oportunidad de existencia a través de la fusión nuclear.";;;;;;;;;;;;;;;;;;
AA - 006;Pico Toxico;Aves;Cuervo;2;2;2;Toxico. Vuela.;REVISION;ARTE;;"El Cuervo Pico Tóxico es una pesadilla bioquímica surgida de los vertederos industriales del viejo mundo. Actuando como un destilador orgánico de residuos, este depredador bípede secreta a través de su pico poroso un compuesto cáustico verde neón capaz de perforar las aleaciones más resistentes. Su cuerpo, cubierto por una piel de caucho aceitoso y púas de cristal ponzoñoso, exhala nubes de gas sulfúrico que marchitan la vida a su paso. Desde su trono de barriles oxidados y lodos hirvientes, el Corvus Virosus vigila con sus ojos de color amarillo azufre, esperando el momento de inyectar su cóctel letal en el torrente sanguíneo de cualquier intruso que ose cruzar su territorio contaminado.";;;;;;;;;;;;;;;;;;
AA - 007;Halcones de Acero;Aves;Halcon;1;4;2;Vuela;REVISION;ARTE;;"En el campo de batalla, su ataque es un evento silencioso hasta el momento del impacto. Los habitantes de las ciudades en ruinas los llaman ""Los Verdugos de Cromo"", ya que lo último que ve su presa es un destello plateado y una estela de chispas naranjas antes de que la presión del aire sea insoportable.";;;;;;;;;;;;;;;;;;
AA - 008;Cuervo de Flores;Aves;Cuervo;1;1;1;Diagonal. Vuela;REVISION;ARTE;;"El Cuervo de Flores es el simbionte supremo de la zona cero, una asombrosa anomalía biomecánica que demuestra que la vida persiste incluso en el corazón de la desolación. Su cuerpo de metal y hueso ha sido asimilado por una red de enredaderas fotosintéticas que se alimentan de la radiación ionizante, transformando un heraldo de la muerte en un jardín viviente. Con alas de filigrana botánica que pulsan con energía cian y violeta, este depredador bípede hipnotiza a sus presas con polen alucinógeno y una mirada violeta profunda, antes de descender sobre ellas como un torbellino de belleza letal que tritura y absorbe, demostrando que en el multiverso post-apocalíptico, la flor más hermosa es a menudo la más mortal.";;;;;;;;;;;;;;;;;;
AA - 009;Cuervo Acechador;Aves;Cuervo;2;2;2;Tridente. Vuela;REVISION;ARTE;;"El Cuervo Acechador es el asesino silencioso del páramo, una aberración biomecánica que ha sustituido el instinto carroñero por el hambre de energía residual. A diferencia de sus parientes masivos, su cuerpo esquelético está tejido con fibras ópticas y tendones de cable negro, permitiéndole vibrar en frecuencias que lo vuelven virtualmente invisible entre la estática de las zonas en ruinas. En lugar de ojos, una franja de sensores carmesí escanea el calor y los datos de sus presas, mientras que sus alas, similares a redes de cobre deshilachadas, le permiten trepar y acechar desde bosques de antenas y salas de servidores colapsadas, esperando el momento de conectar su pico-sonda cerámico para drenar la vida eléctrica de todo lo que aún late.";;;;;;;;;;;;;;;;;;
AA - 010;Opium;Aves;Cuervo;2;5;3;Vuela;REVISION;ARTE;;"El Cuervo Opium es la manifestación física del olvido y la resistencia eterna en el páramo, una titánica anomalía bípede que existe en un estado de sopor perpetuo. Su cuerpo, una fortaleza de hueso marmóreo y metal oxidado cubierto por un plumaje de vidriería polvorienta, alberga un aura que disuelve la voluntad y la vida de cualquier intruso. Cien veces más denso que un mutante normal, el Corvus Sopora es invulnerable no por fuerza, sino por pura inercia biológica, absorbiendo ataques y tiempo por igual. Desde su trono de escombros en el centro de las ruinas, vigila con ojos vacíos, un monumento viviente que prueba que al final de todas las guerras, solo queda el sueño eterno de la entropía.";;;;;;;;;;;;;;;;;;
