Codigo;Nombre;Detalle;ESTADO
AE - 001;Entrenamiento;Mejoras el poder de una creatura en +2;REVISION
AE - 002;Retiro Espiritual;Mejoras la resistencia de una creatura en +3;REVISION
AE - 003;Sacrificio;Sacrificas una creatura para darle su poder a otra carta de tu eleccion;REVISION
AE - 004;Ritual Nebular;Sacrificas una creatura para darle su resistencia a otra carta de tu eleccion;REVISION
AE - 005;Fusión;Sacrificas una creatura para agregar su habilidad a otra creatura;REVISION
AE - 006;Mutación Alfa;Sacrificas una creatura. Otra creatura ahora puede volar;REVISION
AE - 007;Tormenta Helada;La creatura seleccionada no puede atacar durante dos turnos.;REVISION
AE - 008;Lanza voltaica;"Arrojas la carta hacia el oponente, si impacta, recibe 2 de daño.";REVISION
AE - 009;Refuerzos;Buscas una carta a eleccion de tu mazo;REVISION
AE - 010;Ataque Kamikaze;Sacrificas una carta de tu mano y tu oponente recibe daño igual a su poder.;REVISION
AE - 011;Lluvia Acida;Hace 1 de daño a todas las creaturas del campo.;REVISION
AE - 012;Lluvia concentrada;Hace 1 de daño a las creaturas enemigas.;REVISION
AE - 013;La suerte está echada;Hace 1d6 de daño a la creatura enemiga.;REVISION
AE - 014;Lunes;Sacrificas una creatura para darle + 4 de poder a la creatura seleccionada.;REVISION
AE - 015;Martes;Sacrificas una creatura para darle +6 de resistencia a la creatura seleccionada.;REVISION
AE - 016;Miercoles;La creatura seleccionada ahora puede es Explosivo;REVISION
AE - 017;Jueves;Sacrificas la creatura del contrincante para recuperar vida igual a su resistencia.;REVISION
AE - 018;Viernes;Sacrificas la creatura de tu campo para recuperar la vida de tu oponente igual a la resistencia.;REVISION
AE - 019;Sabado;Sacrificas la creatura de tu campo. Otra creatura gana la habilidad "Manada";REVISION
AE - 020;Domingo;Sacrificas la creatura de tu campo. Otra creatura gana la habilidad "Colmena";REVISION
AE - 021;;;
AE - 022;;;
AE - 023;;;
AE - 024;;;
AE - 025;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
